Player,Nation,Pos,Squad,Comp,Age,Min,Gls,Ast,CrdY,CrdR,Sh,SoT,TklW,Int,Fls,Player_adv,xG,npxG,xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,npxG_90,has_advanced_stats,90s,Gls_p90,Ast_p90,Sh_p90,SoT_p90,TklW_p90,Int_p90,Fls_p90
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2220,4,5,2,0,43,16,22,15,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,24.666666666666668,0.16,0.2,1.74,0.65,0.89,0.61,0.77
Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,120,0,0,0,0,0,0,2,2,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.3333333333333333,0.0,0.0,0.0,0.0,1.5,1.5,1.5
Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,638,2,0,0,0,16,4,3,3,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.088888888888889,0.28,0.0,2.26,0.56,0.42,0.42,0.71
Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,138,0,0,1,0,4,1,1,2,3,Himad Abdelli,6.4,3.2,3.2,107.0,207.0,111.0,0.2,0.1,0.1,True,1.5333333333333334,0.0,0.0,2.61,0.65,0.65,1.3,1.96
Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1045,2,0,4,1,9,2,9,10,19,Ali Abdi,4.3,4.3,1.9,35.0,42.0,101.0,0.28,0.12,0.28,True,11.61111111111111,0.17,0.0,0.78,0.17,0.78,0.86,1.64
Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26.0,833,0,0,3,0,1,0,7,11,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,9.255555555555556,0.0,0.0,0.11,0.0,0.76,1.19,2.05
Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1227,2,4,3,0,8,3,22,9,22,Saud Abdulhamid,0.0,0.0,0.2,6.0,9.0,26.0,0.01,0.08,0.01,True,13.633333333333333,0.15,0.29,0.59,0.22,1.61,0.66,1.61
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,2073,1,0,6,0,20,5,22,26,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,23.033333333333335,0.04,0.0,0.87,0.22,0.96,1.13,1.0
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23.0,2323,5,3,5,0,76,21,12,9,28,Matthis Abline,8.5,7.7,3.8,75.0,48.0,169.0,0.28,0.12,0.25,True,25.81111111111111,0.19,0.12,2.94,0.81,0.46,0.35,1.08
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,1881,3,1,4,1,16,6,18,5,22,Abner,0.6,0.6,1.1,31.0,66.0,55.0,0.05,0.09,0.05,True,20.9,0.14,0.05,0.77,0.29,0.86,0.24,1.05
Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26.0,511,0,0,4,0,7,2,12,1,12,Zakaria Aboukhlal,10.2,8.6,1.6,34.0,22.0,164.0,0.48,0.07,0.41,True,5.677777777777778,0.0,0.0,1.23,0.35,2.11,0.18,2.11
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27.0,1166,0,2,8,1,7,1,16,18,24,Abdel Abqar,0.9,0.9,0.3,16.0,79.0,4.0,0.03,0.01,0.03,True,12.955555555555556,0.0,0.15,0.54,0.08,1.23,1.39,1.85
Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28.0,227,2,0,0,0,9,3,1,0,1,Tammy Abraham,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,True,2.522222222222222,0.79,0.0,3.57,1.19,0.4,0.0,0.4
Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,25.0,526,0,0,2,0,6,0,12,8,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.844444444444444,0.0,0.0,1.03,0.0,2.05,1.37,0.86
Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23.0,556,2,0,1,0,17,7,7,3,6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6.177777777777778,0.32,0.0,2.75,1.13,1.13,0.49,0.97
Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,21.0,106,0,0,0,0,0,0,0,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.1777777777777778,0.0,0.0,0.0,0.0,0.0,0.85,0.85
