Player,Nation,Pos,Squad,Comp,Age,Min,Gls,Ast,CrdY,CrdR,Sh,SoT,TklW,Int,Fls,Player_adv,xG,npxG,xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,npxG_90,has_advanced_stats,90s,Gls_p90,Ast_p90,Sh_p90,SoT_p90,TklW_p90,Int_p90,Fls_p90,Def_Action_p90,PrgC_p90,PrgP_p90,PrgR_p90,Prog_total_p90,Def_over_prog,PrgP_over_PrgC,Carry_share,is_df,is_mf,is_fw,PCA1,PCA2,Cluster,Cluster_Label
Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1045,2,0,4,1,9,2,9,10,19,Ali Abdi,4.3,4.3,1.9,35.0,42.0,101.0,0.28,0.12,0.28,True,11.61111111111111,0.17,0.0,0.78,0.17,0.78,0.86,1.64,3.2800000000000002,3.014354066985646,3.6172248803827753,8.698564593301436,15.330143540669857,0.2008555523000293,0.901072705601907,0.18458833870495162,1,1,0,0.2602100486229776,1.0590148322200115,2,Creative Playmakers
Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1227,2,4,3,0,8,3,22,9,22,Saud Abdulhamid,0.0,0.0,0.2,6.0,9.0,26.0,0.01,0.08,0.01,True,13.633333333333333,0.15,0.29,0.59,0.22,1.61,0.66,1.61,3.88,0.4400977995110025,0.6601466992665037,1.9070904645476774,3.0073349633251834,0.9682245271507016,0.45840407470288624,0.10982306284319708,0,1,0,-0.8515520675554966,0.23134369702545704,2,Creative Playmakers
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23.0,2323,5,3,5,0,76,21,12,9,28,Matthis Abline,8.5,7.7,3.8,75.0,48.0,169.0,0.28,0.12,0.25,True,25.81111111111111,0.19,0.12,2.94,0.81,0.46,0.35,1.08,1.8900000000000001,2.9057253551442104,1.8596642272922945,6.547567800258287,11.312957382694792,0.15349683599622416,0.4761379918439325,0.23598923189875187,0,1,1,3.0520559863396444,-1.3681152911953232,0,Defensive Midfielders & Destroyers
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,1881,3,1,4,1,16,6,18,5,22,Abner,0.6,0.6,1.1,31.0,66.0,55.0,0.05,0.09,0.05,True,20.9,0.14,0.05,0.77,0.29,0.86,0.24,1.05,2.1500000000000004,1.4832535885167466,3.1578947368421053,2.6315789473684212,7.272727272727273,0.2598901098901099,1.2716763005780345,0.1792943898207056,1,1,0,-0.5637589691377232,-0.18219269057224233,2,Creative Playmakers
Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26.0,511,0,0,4,0,7,2,12,1,12,Zakaria Aboukhlal,10.2,8.6,1.6,34.0,22.0,164.0,0.48,0.07,0.41,True,5.677777777777778,0.0,0.0,1.23,0.35,2.11,0.18,2.11,4.4,5.98825831702544,3.8747553816046967,28.88454011741683,38.74755381604697,0.11069863620698145,0.5544665359843182,0.15065727930677955,0,1,0,2.8881124696051894,3.109462298688766,5,Wide Attackers
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27.0,1166,0,2,8,1,7,1,16,18,24,Abdel Abqar,0.9,0.9,0.3,16.0,79.0,4.0,0.03,0.01,0.03,True,12.955555555555556,0.0,0.15,0.54,0.08,1.23,1.39,1.85,4.470000000000001,1.234991423670669,6.0977701543739276,0.30874785591766724,7.641509433962264,0.5172707423580788,2.7283192632386797,0.14291385470424775,1,0,0,-2.3113381180533015,2.096335741118878,1,Progressive Fullbacks
Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1198,0,1,3,0,3,1,9,17,15,Francesco Acerbi,0.4,0.4,0.6,19.0,62.0,22.0,0.02,0.03,0.02,True,13.311111111111112,0.0,0.08,0.23,0.08,0.68,1.28,1.13,3.09,1.4273789649415691,4.657762938230384,1.6527545909849748,7.737896494156928,0.35363202139854794,1.9188445667125171,0.16335498662590753,1,0,0,-2.1308876230805605,0.7489267620508856,1,Progressive Fullbacks
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,587,1,0,1,0,3,2,7,11,2,Joshua Acheampong,0.2,0.2,0.0,0.0,8.0,0.0,0.12,0.0,0.12,True,6.522222222222222,0.15,0.0,0.46,0.31,1.07,1.69,0.31,3.07,0.0,1.2265758091993186,0.0,1.2265758091993186,1.3787987758224942,1.2265758091993186,0.0,1,0,0,-3.234026087518301,-0.8701908103844964,6,Centre-Backs & Defenders
Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,1846,8,3,2,0,55,27,3,1,31,Akor Adams,0.4,0.4,0.0,0.0,5.0,5.0,0.29,0.0,0.29,True,20.511111111111116,0.39,0.15,2.68,1.32,0.15,0.05,1.51,1.71,0.0,0.24377031419284934,0.24377031419284934,0.48754062838569867,1.1495484340859432,0.24377031419284934,0.0,0,0,1,1.4793725330029004,-4.220050382493092,3,Pure Strikers
Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1826,5,2,0,0,48,14,9,1,17,Che Adams,9.0,8.2,2.0,23.0,40.0,153.0,0.31,0.07,0.28,True,20.288888888888888,0.25,0.1,2.37,0.69,0.44,0.05,0.84,1.33,1.1336254107338446,1.9715224534501643,7.541073384446879,10.646221248630887,0.11420013166556946,0.9240246406570841,0.09733847456033105,0,0,1,2.011959407549764,-2.6813544325203997,3,Pure Strikers
